timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595034125454,267,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-1,text,true,,3713,627,3,3,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,267,0,210
1595034125724,57,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-1,text,true,,3452,715,4,4,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,57,0,0
1595034125553,249,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-2,text,true,,3713,627,4,4,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,249,0,196
1595034125811,52,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-2,text,true,,3452,715,5,5,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,52,0,0
1595034125653,278,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-3,text,true,,3713,627,5,5,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,278,0,218
1595034125934,60,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-3,text,true,,3452,715,6,6,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,60,0,0
1595034125783,222,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-1,text,true,,212904,741,6,6,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,70,0,0
1595034125754,278,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-4,text,true,,3713,627,6,6,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,278,0,217
1595034125865,206,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-2,text,true,,212904,741,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,65,0,0
1595034126010,68,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-1,text,true,,5253,713,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,68,0,0
1595034126034,55,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-4,text,true,,3452,715,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,55,0,0
1595034125854,245,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-5,text,true,,3713,627,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,245,0,195
1595034126081,55,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-1,text,true,,8389,735,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,55,0,0
1595034126077,63,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-2,text,true,,5253,713,6,6,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,63,0,0
1595034126101,52,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-5,text,true,,3452,715,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,52,0,0
1595034126143,53,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-2,text,true,,8389,735,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,53,0,0
1595034125953,263,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-6,text,true,,3713,627,6,6,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,263,0,209
1595034125997,227,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-3,text,true,,212904,741,6,6,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,67,0,0
1595034126054,214,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-7,text,true,,3713,627,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,214,0,155
1595034126217,56,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-6,text,true,,3452,715,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,56,0,0
1595034126228,69,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-3,text,true,,5253,713,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,69,0,0
1595034126091,219,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-4,text,true,,212904,741,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,67,0,0
1595034126269,55,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-7,text,true,,3452,715,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,55,0,0
1595034126300,58,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-3,text,true,,8389,735,8,8,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,58,0,0
1595034126154,209,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-5,text,true,,212904,741,8,8,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,66,0,0
1595034126315,68,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-4,text,true,,5253,713,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,68,0,0
1595034126152,256,GetGarages- HTTP Request,200,OK,Thread Group - Rob Integration 1-8,text,true,,3713,627,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,256,0,203
1595034126385,56,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-4,text,true,,8389,735,7,7,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,56,0,0
